Date,Infected,Recovered,Death,Vaccinated
2020-05-31,2,2460,1,0
2020-06-01,3,2485,1,0
2020-06-02,8,2511,2,0
2020-06-03,28,2530,0,0
2020-06-04,14,2551,1,0
2020-06-05,14,2563,0,0
2020-06-06,6,2577,0,0
2020-06-07,4,2592,1,0
2020-06-08,11,2625,1,0
2020-06-09,15,2637,0,0
2020-06-10,28,2658,0,0
2020-06-11,7,2673,1,0
2020-06-12,7,2683,1,0
2020-06-13,11,2699,2,0
2020-06-14,4,2731,2,0
2020-06-15,6,2759,0,0
2020-06-16,13,2798,0,0
2020-06-17,4,2810,1,0
2020-06-18,9,2826,0,0
2020-06-19,7,2830,1,0
2020-06-20,2,2832,1,0
2020-06-21,3,2835,0,0
2020-06-22,3,2843,0,0
2020-06-23,4,2871,0,0
2020-06-24,2,2885,0,0
2020-06-25,4,2897,0,0
2020-06-26,3,2903,0,0
2020-06-27,0,2903,0,0
2020-06-28,0,2903,0,0
2020-06-29,3,2918,1,0
2020-06-30,4,2945,0,0
2020-07-01,5,2952,0,0
2020-07-02,6,2959,0,0
2020-07-03,0,2959,0,0
2020-07-04,4,2963,0,0
2020-07-05,3,2969,0,0
2020-07-06,6,2982,1,0
2020-07-07,5,2986,0,0
2020-07-08,2,2995,0,0
2020-07-09,1,3002,0,0
2020-07-10,2,3004,0,0
2020-07-11,3,3007,0,0
2020-07-12,3,3010,1,0
2020-07-13,2,3014,0,0
2020-07-14,9,3016,0,0
2020-07-15,8,3019,0,0
2020-07-16,4,3022,0,0
2020-07-17,2,3022,0,0
2020-07-18,1,3022,0,0
2020-07-19,1,3025,0,0
2020-07-20,2,3029,0,0
2020-07-21,0,3029,0,0
2020-07-22,2,3035,0,0
2020-07-23,13,3035,0,0
2020-07-24,1,3039,0,0
2020-07-25,5,3041,0,0
2020-07-26,2,3047,0,0
2020-07-27,4,3052,0,0
2020-07-28,8,3054,0,0
2020-07-29,5,3055,0,0
2020-07-30,6,3057,0,0
2020-07-31,3,3060,1,0
2020-08-01,2,3063,1,0
2020-08-02,5,3065,0,0
2020-08-03,8,3074,0,0
2020-08-04,5,3082,0,0
2020-08-05,10,3086,0,0
2020-08-06,17,3088,1,0
2020-08-07,5,3089,0,0
2020-08-08,1,3090,0,0
2020-08-09,6,3092,0,0
2020-08-10,15,3092,0,0
2020-08-11,18,3094,0,0
2020-08-12,12,3107,0,0
2020-08-13,10,3108,0,0
2020-08-14,9,3113,0,0
2020-08-15,2,3115,0,0
2020-08-16,3,3118,0,0
2020-08-17,10,3126,0,0
2020-08-18,9,3130,0,0
2020-08-19,6,3136,0,0
2020-08-20,14,3139,0,0
2020-08-21,6,3141,0,0
2020-08-22,8,3146,0,0
2020-08-23,3,3154,0,0
2020-08-24,8,3159,0,0
2020-08-25,14,3169,0,0
2020-08-26,6,3186,0,0
2020-08-27,14,3191,0,0
2020-08-28,21,3192,0,0
2020-08-29,7,3198,0,0
2020-08-30,1,3213,0,0
2020-08-31,8,3231,0,0
2020-09-01,9,3243,0,0
2020-09-02,13,3253,0,0
2020-09-03,14,3262,0,0
2020-09-04,14,3264,0,0
2020-09-05,3,3267,0,0
2020-09-06,6,3277,0,0
2020-09-07,10,3286,1,0
2020-09-08,12,3292,0,0
2020-09-09,15,3306,1,0
2020-09-10,18,3312,0,0
2020-09-11,32,3320,0,0
2020-09-12,14,3323,1,0
2020-09-13,18,3330,0,0
2020-09-14,21,3344,0,0
2020-09-15,28,3350,0,0
2020-09-16,17,3364,0,0
2020-09-17,38,3385,0,0
2020-09-18,18,3392,1,0
2020-09-19,4,3393,0,0
2020-09-20,16,3401,0,0
2020-09-21,19,3410,0,0
2020-09-22,24,3423,0,0
2020-09-23,19,3437,0,0
2020-09-24,19,3451,0,0
2020-09-25,14,3453,0,0
2020-09-26,3,3459,0,0
2020-09-27,7,3469,1,0
2020-09-28,11,3481,0,0
2020-09-29,19,3496,0,0
2020-09-30,25,3514,0,0
2020-10-01,34,3545,0,0
2020-10-02,26,3559,0,0
2020-10-03,38,3577,0,0
2020-10-04,10,3598,0,0
2020-10-05,9,3625,0,0
2020-10-06,33,3642,0,0
2020-10-07,42,3680,0,0
2020-10-08,58,3698,0,0
2020-10-09,58,3702,0,0
2020-10-10,33,3718,1,0
2020-10-11,19,3736,0,0
2020-10-12,57,3760,1,0
2020-10-13,75,3779,0,0
2020-10-14,74,3798,1,0
2020-10-15,101,3811,1,0
2020-10-16,96,3814,1,0
2020-10-17,65,3821,0,0
2020-10-18,20,3832,0,0
2020-10-19,107,3851,0,0
2020-10-20,111,3875,0,0
2020-10-21,172,3909,0,0
2020-10-22,184,3935,2,0
2020-10-23,175,3973,0,0
2020-10-24,185,3983,0,0
2020-10-25,80,3991,0,0
2020-10-26,149,4023,0,0
2020-10-27,238,4065,5,0
2020-10-28,227,4123,2,0
2020-10-29,259,4180,3,0
2020-10-30,250,4212,2,0
2020-10-31,156,4231,3,0
2020-11-01,100,4288,3,0
2020-11-02,245,4362,3,0
2020-11-03,297,4435,3,0
2020-11-04,321,4535,4,0
2020-11-05,327,4630,4,0
2020-11-06,252,4695,7,0
2020-11-07,207,4714,3,0
2020-11-08,107,4819,7,0
2020-11-09,309,4928,5,0
2020-11-10,303,5099,7,0
2020-11-11,385,5278,6,0
2020-11-12,452,5448,5,0
2020-11-13,251,5628,6,0
2020-11-14,208,5707,4,0
2020-11-15,198,5851,5,0
2020-11-16,330,6087,8,0
2020-11-17,376,6310,10,0
2020-11-18,506,6562,10,0
2020-11-19,476,6806,9,0
2020-11-20,672,6959,17,0
2020-11-21,305,7054,11,0
2020-11-22,223,7291,11,0
2020-11-23,567,7580,11,0
2020-11-24,503,7891,7,0
2020-11-25,568,8212,10,0
2020-11-26,494,8460,11,0
2020-11-27,444,8662,18,0
2020-11-28,316,8764,13,0
2020-11-29,334,9068,21,0
2020-11-30,443,9360,14,0
2020-12-01,591,9731,18,0
2020-12-02,712,10165,17,0
2020-12-03,945,10413,22,0
2020-12-04,496,10610,20,0
2020-12-05,431,10800,29,0
2020-12-06,430,11121,19,0
2020-12-07,589,11479,20,0
2020-12-08,752,11951,27,0
2020-12-09,950,12413,18,0
2020-12-10,1128,13058,29,0
2020-12-11,1013,13352,33,0
2020-12-12,501,13567,19,0
2020-12-13,636,14111,19,0
2020-12-14,792,14603,28,0
2020-12-15,1090,15152,38,0
2020-12-16,1178,15632,37,0
2020-12-17,1232,16061,36,0
2020-12-18,838,16366,21,0
2020-12-19,705,16681,28,0
2020-12-20,689,17105,32,0
2020-12-21,1127,17674,41,0
2020-12-22,1385,18357,33,0
2020-12-23,1292,19270,37,0
2020-12-24,852,19743,44,0
2020-12-25,777,20159,50,0
2020-12-26,269,20567,29,0
2020-12-27,515,21125,54,0
2020-12-28,881,21841,38,0
2020-12-29,1392,22752,48,0
2020-12-30,1223,23822,40,0
2020-12-31,732,24798,45,0
2021-01-01,463,25279,41,0
2021-01-02,249,25881,38,0
2021-01-03,518,26642,45,0
2021-01-04,892,27680,53,0
2021-01-05,1206,28804,47,0
2021-01-06,1488,29983,42,0
2021-01-07,1295,30789,60,8
2021-01-08,930,31459,28,0
2021-01-09,610,32107,39,0
2021-01-10,526,33177,49,0
2021-01-11,1008,34503,40,5
2021-01-12,1158,35748,42,2
2021-01-13,1110,36562,40,3
2021-01-14,948,37301,28,4
2021-01-15,752,37544,31,7
2021-01-16,513,38018,31,1
2021-01-17,442,38859,40,1
2021-01-18,595,40176,30,26
2021-01-19,886,41355,42,4
2021-01-20,850,42058,28,23
2021-01-21,769,42492,26,3
2021-01-22,480,42714,35,11
2021-01-23,468,43203,28,11
2021-01-24,311,44036,32,3
2021-01-25,467,45208,24,19
2021-01-26,704,46645,20,39
2021-01-27,719,47886,26,29
2021-01-28,552,48793,29,14
2021-01-29,432,49375,25,7
2021-01-30,340,49869,37,7
2021-01-31,284,50839,25,3
2021-02-01,388,51968,19,5
2021-02-02,638,53027,20,19
2021-02-03,664,53930,21,24
2021-02-04,534,54650,31,16
2021-02-05,360,55147,21,16
2021-02-06,231,55569,20,3
2021-02-07,222,56120,21,0
2021-02-08,230,56969,18,2
2021-02-09,249,57784,13,4
2021-02-10,428,58512,17,26
2021-02-11,481,58983,21,9
2021-02-12,365,59422,16,9
2021-02-13,240,59717,15,7
2021-02-14,251,60168,21,3
2021-02-15,322,60843,16,7
2021-02-16,528,61532,16,12
2021-02-17,531,62055,17,20
2021-02-18,460,62478,22,2
2021-02-19,404,62808,14,11
2021-02-20,240,63075,12,13
2021-02-21,189,63451,15,6
2021-02-22,337,64065,25,9
2021-02-23,521,64706,18,16
2021-02-24,595,65218,14,57
2021-02-25,475,65565,11,12
2021-02-26,422,65788,7,8
2021-02-27,243,66002,15,5
2021-02-28,172,66223,15,7
2021-03-01,365,66460,20,4
2021-03-02,550,66867,10,12
2021-03-03,623,67336,6,14
2021-03-04,535,67692,9,12
2021-03-05,330,67917,8,4
2021-03-06,389,68152,10,11
2021-03-07,175,68449,13,1
2021-03-08,408,68960,13,11
2021-03-09,598,69471,9,19
2021-03-10,763,69915,7,39
2021-03-11,654,70305,7,15
2021-03-12,485,70538,12,10
2021-03-13,560,70716,8,10
2021-03-14,255,71040,10,9
2021-03-15,462,71544,8,13
2021-03-16,821,72124,11,28
2021-03-17,835,72586,10,20
2021-03-18,805,72998,16,22
2021-03-19,706,73238,13,56
2021-03-20,585,73403,11,25
2021-03-21,347,73755,13,6
2021-03-22,591,74294,9,21
2021-03-23,859,74909,12,20
2021-03-24,1041,75438,17,16
2021-03-25,867,75761,10,12
2021-03-26,830,76137,16,16
2021-03-27,565,76300,9,29
2021-03-28,504,76700,13,22
2021-03-29,707,77286,17,20
2021-03-30,983,78032,15,25
2021-03-31,1154,78674,16,33
2021-04-01,801,79154,18,20
2021-04-02,569,79703,19,14
2021-04-03,394,79951,14,10
2021-04-04,192,80394,11,1
2021-04-05,418,81195,15,12
2021-04-06,696,82013,18,33
2021-04-07,1146,82805,11,30
2021-04-08,1064,83499,13,27
2021-04-09,809,84073,14,26
2021-04-10,567,84407,10,15
2021-04-11,385,84982,14,17
2021-04-12,706,85830,16,15
2021-04-13,1034,86851,16,40
2021-04-14,1178,87704,13,36
2021-04-15,930,88514,13,30
2021-04-16,696,89071,13,28
2021-04-17,487,89557,11,21
2021-04-18,356,90240,18,15
2021-04-19,647,91205,17,27
2021-04-20,1038,92339,15,46
2021-04-21,925,93122,16,32
2021-04-22,866,93673,15,29
2021-04-23,648,94057,12,25
2021-04-24,542,94240,7,25
2021-04-25,375,94641,15,7
2021-04-26,560,95327,8,22
2021-04-27,931,96453,15,32
2021-04-28,851,97510,14,39
2021-04-29,790,98301,10,55
2021-04-30,722,98859,10,36
2021-05-01,467,99239,12,21
2021-05-02,367,99928,10,17
2021-05-03,485,100944,9,30
2021-05-04,859,102097,8,58
2021-05-05,755,103007,12,47
2021-05-06,649,103692,14,32
2021-05-07,557,104172,9,26
2021-05-08,357,104521,5,20
2021-05-09,241,105158,14,12
2021-05-10,515,106181,12,49
2021-05-11,600,107089,8,48
2021-05-12,568,107944,8,53
2021-05-13,273,108579,15,25
2021-05-14,283,109114,11,25
2021-05-15,279,109484,8,31
2021-05-16,205,110036,9,14
2021-05-17,353,110958,5,39
2021-05-18,528,111799,4,53
2021-05-19,382,112578,7,46
2021-05-20,319,113292,6,31
2021-05-21,211,113755,5,17
2021-05-22,130,114117,7,10
2021-05-23,66,114596,4,4
2021-05-24,106,115446,7,15
2021-05-25,263,116180,6,43
2021-05-26,222,116821,3,22
2021-05-27,161,117371,4,15
2021-05-28,131,117720,6,14
2021-05-29,75,117957,2,12
2021-05-30,56,118467,7,13
2021-05-31,135,119058,5,14
2021-06-01,123,119622,2,14
2021-06-02,91,119893,3,9
2021-06-03,89,120170,0,17
2021-06-04,92,120447,3,11
2021-06-05,47,120650,2,15
2021-06-06,35,120996,0,4
2021-06-07,67,121521,0,9
2021-06-08,58,121900,1,6
2021-06-09,30,122216,0,1
2021-06-10,0,122216,0,0
2021-06-11,0,122216,0,0
2021-06-12,0,122216,0,0
2021-06-13,0,122216,0,0
2021-06-14,0,122216,0,0
2021-06-15,0,122216,0,0
2021-06-16,0,122216,0,0
2021-06-17,0,122216,0,0
2021-06-18,0,122216,0,0
2021-06-19,0,122216,0,0
2021-06-20,0,122216,0,0
2021-06-21,0,122216,0,0
2021-06-22,0,122216,0,0
2021-06-23,0,122216,0,0
2021-06-24,0,122216,0,0
2021-06-25,0,122216,0,0
2021-06-26,0,122216,0,0
2021-06-27,0,122216,0,0
2021-06-28,0,122216,0,0
2021-06-29,0,122216,0,0
2021-06-30,12,122216,0,1
2021-07-01,10,122216,0,1
2021-07-02,5,122216,0,1
2021-07-03,5,122216,0,1
2021-07-04,7,122216,0,3
2021-07-05,14,122216,0,2
2021-07-06,5,122216,0,1
2021-07-07,15,122216,0,4
2021-07-08,2,122216,0,0
2021-07-09,6,122216,0,1
2021-07-10,1,122216,0,0
2021-07-11,11,122216,0,1
2021-07-12,16,122216,0,2
2021-07-13,21,122216,0,2
2021-07-14,18,122216,0,5
2021-07-15,15,122216,0,3
2021-07-16,6,122216,0,1
2021-07-17,6,122216,1,0
2021-07-18,17,122216,0,3
2021-07-19,29,122216,0,3
2021-07-20,17,122228,0,5
2021-07-21,20,122238,0,4
2021-07-22,25,122243,1,6
2021-07-23,19,122248,0,7
2021-07-24,4,122255,0,0
2021-07-25,10,122269,0,2
2021-07-26,25,122274,1,4
2021-07-27,17,122289,0,2
2021-07-28,27,122291,0,4
2021-07-29,15,122297,0,1
2021-07-30,16,122298,1,3
2021-07-31,16,122309,0,4
2021-08-01,17,122324,0,5
2021-08-02,34,122344,0,5
2021-08-03,26,122362,0,7
2021-08-04,19,122377,0,4
2021-08-05,31,122383,0,11
2021-08-06,13,122389,0,3
2021-08-07,6,122405,0,1
2021-08-08,13,122434,0,2
2021-08-09,41,122451,1,8
2021-08-10,29,122470,0,6
2021-08-11,31,122495,0,8
2021-08-12,32,122514,0,2
2021-08-13,26,122518,1,3
2021-08-14,7,122528,0,1
2021-08-15,13,122553,0,2
2021-08-16,101,122570,0,16
2021-08-17,53,122596,1,8
2021-08-18,54,122610,0,9
2021-08-19,45,122626,0,8
2021-08-20,33,122642,0,5
2021-08-21,18,122658,0,3
2021-08-22,24,122691,0,2
2021-08-23,101,122717,0,14
2021-08-24,94,122736,0,20
2021-08-25,86,122766,0,20
2021-08-26,105,122779,0,14
2021-08-27,67,122785,0,14
2021-08-28,12,122798,0,7
2021-08-29,42,122839,0,8
2021-08-30,120,122868,1,19
2021-08-31,144,122899,1,31
2021-09-01,108,122931,0,22
2021-09-02,158,122957,0,20
2021-09-03,108,122964,0,18
2021-09-04,39,122977,0,7
2021-09-05,66,123078,0,23
2021-09-06,214,123130,0,43
2021-09-07,205,123184,1,40
2021-09-08,181,123229,0,38
2021-09-09,175,123262,1,39
2021-09-10,118,123280,0,19
2021-09-11,51,123304,0,15
2021-09-12,83,123404,1,19
2021-09-13,270,123498,1,58
2021-09-14,187,123584,0,35
2021-09-15,234,123688,0,43
2021-09-16,180,123755,1,25
2021-09-17,162,123767,1,24
2021-09-18,102,123809,0,12
2021-09-19,25,123928,1,4
2021-09-20,80,124072,2,22
2021-09-21,245,124179,1,47
2021-09-22,316,124337,0,63
2021-09-23,253,124445,1,44
2021-09-24,193,124484,1,23
2021-09-25,91,124550,1,26
2021-09-26,109,124764,2,25
2021-09-27,300,124968,1,68
2021-09-28,325,125149,1,73
2021-09-29,329,125323,1,69
2021-09-30,296,125440,0,64
2021-10-01,202,125491,1,51
2021-10-02,103,125574,1,22
2021-10-03,161,125843,2,28
2021-10-04,371,126028,3,87
2021-10-05,405,126260,1,90
2021-10-06,507,126439,4,85
2021-10-07,460,126601,1,90
2021-10-08,340,126703,1,57
2021-10-09,131,126728,0,17
2021-10-10,224,126808,3,38
2021-10-11,571,127052,0,156
2021-10-12,735,127365,0,174
2021-10-13,777,127618,1,133
2021-10-14,854,127811,2,174
2021-10-15,556,127902,3,85
2021-10-16,384,128009,4,68
2021-10-17,509,128307,2,106
2021-10-18,1271,128629,6,293
2021-10-19,1102,128957,6,233
2021-10-20,1227,129252,8,315
2021-10-21,1337,129454,6,243
2021-10-22,1065,129555,10,241
2021-10-23,518,129715,3,122
2021-10-24,881,130082,8,225
2021-10-25,1515,130484,11,360
2021-10-26,1583,130984,9,410
2021-10-27,1955,131440,11,464
2021-10-28,1649,131777,10,389
2021-10-29,1249,131908,13,275
2021-10-30,656,132130,9,141
2021-10-31,948,132696,14,263
2021-11-01,1986,133429,11,497
2021-11-02,2093,134202,17,560
2021-11-03,2336,135052,8,579
2021-11-04,2206,135603,12,573
2021-11-05,1603,135981,21,344
2021-11-06,932,136485,11,211
2021-11-07,1280,137744,17,350
2021-11-08,2306,138835,26,638
2021-11-09,2606,140038,12,723
2021-11-10,3199,141363,19,844
2021-11-11,2704,142418,18,610
2021-11-12,2145,142933,25,565
2021-11-13,1103,143812,21,255
2021-11-14,1834,145300,25,422
2021-11-15,2853,146868,31,659
2021-11-16,3139,148810,25,767
2021-11-17,3750,150447,26,879
2021-11-18,3631,151681,38,785
2021-11-19,2386,152325,23,536
2021-11-20,1715,153262,27,368
2021-11-21,2807,155232,27,645
2021-11-22,4422,157294,28,869
2021-11-23,4671,159616,19,993
2021-11-24,4451,161803,22,880
2021-11-25,4298,163394,23,782
2021-11-26,3340,164312,23,545
2021-11-27,1989,165574,22,415
2021-11-28,3929,167849,32,713
2021-11-29,4789,170410,31,672
2021-11-30,4806,173570,36,690
2021-12-01,5102,176252,32,882
2021-12-02,4422,178381,26,593
2021-12-03,3179,179472,21,444
2021-12-04,1728,181292,36,312
2021-12-05,3577,184113,25,546
2021-12-06,4327,187217,26,609
2021-12-07,5219,190929,23,851
2021-12-08,4332,194533,27,628
2021-12-09,4085,196897,24,576
2021-12-10,3352,198600,36,508
2021-12-11,1907,201381,17,328
2021-12-12,2636,205777,26,401
2021-12-13,4145,210405,35,619
2021-12-14,3811,214825,21,603
2021-12-15,3850,219087,24,566
2021-12-16,3300,222409,22,440
2021-12-17,2714,224383,31,337
2021-12-18,1214,228268,33,225
2021-12-19,1783,233012,18,265
2021-12-20,3354,237794,23,464
2021-12-21,3365,242870,18,550
2021-12-22,2633,247267,31,374
2021-12-23,1953,250434,14,288
2021-12-24,903,252156,26,82
2021-12-25,501,255699,19,95
2021-12-26,1266,259998,14,190
2021-12-27,2451,265184,17,415
2021-12-28,2580,269491,15,456
2021-12-29,2090,273546,14,326
2021-12-30,1475,276889,17,242
2021-12-31,737,278777,12,96
2022-01-01,484,281386,10,113
2022-01-02,1074,285486,19,151
2022-01-03,2398,289270,10,461
2022-01-04,1928,293094,15,493
2022-01-05,1685,296359,10,373
2022-01-06,1192,299047,7,297
2022-01-07,886,300246,13,229
2022-01-08,489,302012,10,120
2022-01-09,655,305332,14,155
2022-01-10,1137,308675,7,325
2022-01-11,1108,311282,12,365
2022-01-12,975,313225,2,340
2022-01-13,896,314120,6,275
2022-01-14,568,314614,3,171
2022-01-15,405,315871,4,137
2022-01-16,627,318295,3,207
2022-01-17,1381,320856,6,442
2022-01-18,1566,322933,6,514
2022-01-19,1653,324397,8,556
2022-01-20,1256,325132,3,413
2022-01-21,1195,325609,2,325
2022-01-22,435,326673,1,91
2022-01-23,816,329061,1,254
2022-01-24,1796,330982,0,503
2022-01-25,1898,332662,2,556
2022-01-26,1890,333850,0,542
2022-01-27,1611,334730,1,428
2022-01-28,1430,335218,2,399
2022-01-29,697,335869,0,186
2022-01-30,1125,337000,0,260
2022-01-31,2438,338104,0,609
2022-02-01,3105,339077,3,668
2022-02-02,3119,339970,2,469
2022-02-03,2741,340538,1,367
2022-02-04,2253,340943,0,320
2022-02-05,1423,341566,1,143
2022-02-06,1166,342945,0,115
2022-02-07,556,344510,0,5
