suseptible,Infected,Recovered,Dead
309739.71428571426,27636.0,10715.714285714286,1908.5714285714287
310354.71428571426,27313.714285714286,10452.0,1879.5714285714287
310108.85714285716,27206.714285714286,10822.285714285714,1862.142857142857
310455.85714285716,27134.14285714286,10550.714285714286,1859.2857142857142
311436.2857142857,26830.428571428572,9884.285714285714,1849.0
315713.0,26607.428571428572,5869.857142857143,1809.7142857142858
317737.85714285716,25475.14285714286,4996.857142857143,1790.142857142857
317860.5714285714,25081.428571428572,5307.428571428572,1750.5714285714287
318789.5714285714,24343.428571428572,5145.285714285715,1721.7142857142858
318162.71428571426,23654.285714285714,6507.571428571428,1675.4285714285713
319075.85714285716,23553.571428571428,5785.142857142857,1585.4285714285713
317944.5714285714,22908.14285714286,7645.714285714285,1501.5714285714287
318488.28571428574,22689.85714285714,7339.714285714285,1482.142857142857
